Estado,Superficie,rankSuperf
Texas,695621,1
California,423970,2
Arizona,295254,3
Colorado,269601,4
Míchigan,250494,5
Minnesota,225171,6
Washington,184665,7
Misuri,180533,8
Florida,170304,9
Wisconsin,169639,10
Georgia,153909,11
Illinois,149998,12
Nueva York,141299,13
Carolina del Norte,139389,14
Alabama,135756,15
Luisiana,134264,16
Pensilvania,119283,17
Ohio,116096,18
Virginia,110785,19
Tennessee,109151,20
Indiana,94321,21
Carolina del Sur,82932,22
Maryland,32133,23
Massachusetts,27336,24
Nueva Jersey,22588,25
