time,IndPrec-Casas,IndPrec-Acciones,IndPrec-Consumidor,Población,Tasa_desempleo,PBI_real,Tasa_hipotecaria,Ingreso_real_disponible
2000,236.07,944.83957,208.95945,1.11277,3.99167,13138.035,8.05346,33645
2001,253.725,889.34864,214.865,0.98974,4.73333,13263.417,6.96788,34216
2002,269.795,775.06492,218.27283,0.9278,5.775,13488.357,6.53731,34894
2003,286.625,756.55529,223.22783,0.85948,5.99167,13865.519,5.82698,35474
2004,313.5125,918.38713,229.20417,0.92548,5.53333,14399.696,5.83923,36325
2005,349.095,1020.49546,236.98048,0.92171,5.06667,14901.269,5.86673,36526
2006,374.1,1160.50793,244.62534,0.96425,4.61667,15315.943,6.41327,37570
2007,378.265,1339.63564,251.6037,0.95106,4.61667,15623.871,6.33731,38093
2008,358.86,1116.25613,261.26302,0.94587,5.775,15642.962,6.02717,38188
2009,338.95,845.88835,260.33411,0.87665,9.26667,15236.262,5.03654,37814
2010,325.12,1003.60888,264.6037,0.82962,9.61667,15648.991,4.68981,38282
2011,312.59,1093.15185,272.95682,0.72679,8.95,15891.534,4.44788,38769
2012,311.775,1112.0931,278.60522,0.7336,8.06667,16253.97,3.6575,39732
2013,323.5275,1308.67047,282.68632,0.69286,7.375,16553.348,3.97558,38947
2014,339.7575,1479.80352,287.27212,0.73336,6.16667,16932.051,4.16887,40118
2015,357.2575,1482.64229,287.6129,0.73622,5.29167,17390.295,3.85058,41383
2016,375.9925,1441.70856,291.24138,0.72468,4.86667,17680.274,3.65404,41821
2017,396.47,1644.50885,297.44514,0.63264,4.35,18079.084,3.98981,42699
2018,418.4625,1755.56476,304.71049,0.52644,3.9,18606.787,4.54462,43886
2019,437.8,1786.2845,310.23248,0.45538,3.66667,19032.672,3.93577,44644
2020,460.2675,1755.04531,314.05946,0.9612,8.09167,18384.687,3.1117,47241
2021,523.26,2255.8437,328.81353,0.11838,5.36667,19427.287,2.95769,48219
